TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
2779928;2780006;2780196;2780279;2864382;0;0;14;0;125;4_7;0
2930974;2931054;2931309;3382063;3465950;447;0;14;11;125;4_7;1
3532489;3532569;3535672;3987051;4070946;447;0;14;11;125;4_7;2
4137570;4137650;4140760;4592053;4675862;447;0;14;11;125;4_7;3
4742409;4742490;4745602;5197051;5278516;447;0;14;11;125;4_7;4
5342740;5342824;5345956;5911057;5994920;562;0;14;11;125;4_7;5
6061522;6061605;6064718;6630059;6713983;562;0;14;11;125;4_7;6
6784121;6784199;6787376;7352059;7435873;562;0;14;11;125;4_7;7
7502427;7502508;7505623;8071055;8154962;562;0;14;11;125;4_7;8
8221577;8221658;8224775;8790052;8873858;562;0;14;11;125;4_7;9
8940459;8940539;8943648;9625055;9709040;676;0;14;11;125;4_7;10
9775713;9775801;9778933;10460057;10543937;676;0;14;11;125;4_7;11
10610589;10610670;10613773;11295055;11379033;676;0;14;11;125;4_7;12
11445749;11445832;11448962;12130057;12213990;676;0;14;11;125;4_7;13
12280635;12280720;12283835;13079055;13163037;791;0;14;11;125;4_7;14
13233412;13233495;13236677;14030059;14114013;791;0;14;11;125;4_7;15
14180699;14180790;14183940;14979055;15063048;791;0;14;11;125;4_7;16
15129834;15129924;15133050;15928065;16012041;791;0;14;11;125;4_7;17
16078701;16078782;16081933;16877050;16961046;791;0;14;11;125;4_7;18
17027746;17027830;17030972;17940057;18023954;906;0;14;11;125;4_7;19
18090665;18090746;18093890;19003055;19087102;906;0;14;11;125;4_7;20
19153771;19153855;19157000;20066057;20150014;906;0;14;11;125;4_7;21
20216687;20216771;20219918;21129055;21213077;906;0;14;11;125;4_7;22
21287850;21287943;21291143;22314059;22398014;1020;0;14;11;125;4_7;23
22464667;22464747;22467888;23493055;23577081;1020;0;14;11;125;4_7;24
23643772;23643856;23647002;24672057;24756014;1020;0;14;11;125;4_7;25
24822689;24822774;24825908;25851055;25935122;1020;0;14;11;125;4_7;26
26001823;26001911;26005050;27030052;27114050;1020;0;14;11;125;4_7;27
27180734;27180818;27183954;28323055;28407096;1135;0;14;11;125;4_7;28
28473791;28473885;28477031;29616057;29700013;1135;0;14;11;125;4_7;29
29772275;29772353;29775544;30915057;30999057;1135;0;14;11;125;4_7;30
NaN;31065826;31069040;32208057;32292021;1135;0;14;11;125;4_7;31
32358668;32358749;32361896;33615055;33699059;1250;0;14;11;125;4_7;32
33765737;33765824;33768974;35022057;35106025;1250;0;14;11;125;4_7;33
35172662;35172742;35175886;36429059;36513065;1250;0;14;11;125;4_7;34
36579767;36579851;36582994;37836057;37920018;1250;0;14;11;125;4_7;35
37986660;37986741;37989890;39243050;39327067;1250;0;14;11;125;4_7;36
39393759;39393847;39396992;40766057;40850023;1364;0;14;11;125;4_7;37
40920245;40920323;40923520;42293057;42377035;1364;0;14;11;125;4_7;38
42443762;42443851;42447006;43816057;43900017;1364;0;14;11;125;4_7;39
43966686;43966766;43969925;45339055;45423071;1364;0;14;11;125;4_7;40
45489780;45489874;45493015;46976057;47059994;1479;0;14;11;125;4_7;41
47126660;47126740;47129894;48613055;48697079;1479;0;14;11;125;4_7;42
48763736;48763820;48766972;50250057;50333991;1479;0;14;11;125;4_7;43
50400668;50400748;50403897;51887054;51971074;1479;0;14;11;125;4_7;44
52041403;52041481;52044686;53526057;53610036;1479;0;14;11;125;4_7;45
53676668;53676749;53679901;55277054;55361058;1594;0;14;11;125;4_7;46
55427753;55427835;55430988;57028056;57112024;1594;0;14;11;125;4_7;47
57178684;57178769;57181928;58779054;58863111;1594;0;14;11;125;4_7;48
58929801;58929892;58933040;60530056;60614013;1594;0;14;11;125;4_7;49
60680669;60680788;60683946;62397054;62481084;1709;0;14;11;125;4_7;50
62547783;62547877;62551030;64264056;64348011;1709;0;14;11;125;4_7;51
